snapshot_date,country,clicks,impressions,ctr,position
2026-05-05,Belgium,0,1,0,11
2026-05-05,Canada,0,5,0,1.8
2026-05-05,India,0,1,0,3
2026-05-05,Spain,0,1,0,1
2026-05-05,United States,7,106,0.066,13.31
2026-05-13,Barbados,0,1,0,1
2026-05-13,Brazil,0,1,0,6
2026-05-13,Canada,0,1,0,1
2026-05-13,Germany,0,1,0,8
2026-05-13,India,0,2,0,1.5
2026-05-13,Mexico,0,1,0,49
2026-05-13,Pakistan,0,1,0,121
2026-05-13,United States,3,136,0.0221,12.71
2026-05-21,Argentina,0,1,0,2
2026-05-21,Barbados,0,1,0,1
2026-05-21,Belgium,0,1,0,11
2026-05-21,Brazil,0,1,0,6
2026-05-21,Canada,0,6,0,1.67
2026-05-21,Colombia,0,1,0,4
2026-05-21,France,0,1,0,1
2026-05-21,Germany,0,1,0,8
2026-05-21,India,0,4,0,2
2026-05-21,Mexico,0,4,0,13.5
2026-05-21,Pakistan,1,4,0.25,36
2026-05-21,Spain,0,1,0,1
2026-05-21,United States,15,403,0.0372,16.4
2026-05-27,France,0,1,0,1
2026-05-27,Poland,0,1,0,11
2026-05-27,United States,5,113,0.0442,13.15
2026-05-30,fra,0,1,0.0,3.0
2026-05-30,ind,0,3,0.0,23.0
2026-05-30,jpn,0,1,0.0,9.0
2026-05-30,rou,0,1,0.0,1.0
2026-05-30,usa,2,194,0.010309278350515464,22.335051546391753
2026-05-30,ven,0,1,0.0,40.0
2026-06-01,bgd,0,1,0.0,27.0
2026-06-01,can,0,3,0.0,29.666666666666668
2026-06-01,fra,0,1,0.0,3.0
2026-06-01,gbr,0,5,0.0,24.6
2026-06-01,idn,0,1,0.0,38.0
2026-06-01,ind,0,11,0.0,23.0
2026-06-01,jpn,0,1,0.0,9.0
2026-06-01,kor,0,1,0.0,22.0
2026-06-01,nga,0,1,0.0,39.0
2026-06-01,phl,0,2,0.0,21.0
2026-06-01,rou,0,1,0.0,1.0
2026-06-01,usa,2,602,0.0033222591362126247,22.24750830564784
2026-06-01,uzb,0,1,0.0,46.0
2026-06-01,ven,0,1,0.0,40.0
2026-06-01,vnm,0,1,0.0,27.0
2026-06-08,can,0,2,0.0,21.0
2026-06-08,deu,0,1,0.0,17.0
2026-06-08,ecu,0,1,0.0,36.0
2026-06-08,gbr,0,1,0.0,51.0
2026-06-08,idn,0,4,0.0,18.0
2026-06-08,ind,0,9,0.0,14.222222222222221
2026-06-08,mex,0,1,0.0,7.0
2026-06-08,mys,0,1,0.0,26.0
2026-06-08,npl,0,1,0.0,21.0
2026-06-08,phl,0,2,0.0,24.0
2026-06-08,usa,4,1632,0.0024509803921568627,19.875
2026-06-15,bra,0,2,0.0,14.5
2026-06-15,can,1,1,1.0,1.0
2026-06-15,cze,0,1,0.0,9.0
2026-06-15,deu,0,1,0.0,15.0
2026-06-15,esp,0,2,0.0,8.5
2026-06-15,fin,0,1,0.0,11.0
2026-06-15,gbr,0,2,0.0,18.0
2026-06-15,ind,0,1,0.0,21.0
2026-06-15,ita,0,1,0.0,8.0
2026-06-15,nld,0,1,0.0,2.0
2026-06-15,pak,0,3,0.0,7.333333333333333
2026-06-15,pol,0,2,0.0,27.0
2026-06-15,rou,0,1,0.0,17.0
2026-06-15,srb,0,2,0.0,10.0
2026-06-15,tur,0,1,0.0,36.0
2026-06-15,usa,2,1621,0.0012338062924120913,18.726711906230722
2026-06-15,zmb,0,1,0.0,16.0
