date,snapshot_date,clicks,impressions,ctr,position
2026-04-23,2026-05-21,0,1,0,12
2026-04-24,2026-05-21,1,3,0.3333,5.7
2026-04-25,2026-05-21,1,6,0.1667,16.5
2026-04-26,2026-05-21,0,4,0,19.5
2026-04-27,2026-05-05,0,6,0,15.8
2026-04-27,2026-05-21,0,6,0,15.8
2026-04-28,2026-05-05,1,13,0.0769,6.8
2026-04-28,2026-05-21,1,13,0.0769,6.8
2026-04-29,2026-05-05,3,16,0.1875,4.3
2026-04-29,2026-05-21,3,16,0.1875,4.3
2026-04-30,2026-05-05,0,6,0,22.3
2026-04-30,2026-05-21,0,6,0,22.3
2026-05-01,2026-05-05,3,14,0.2143,21.1
2026-05-01,2026-05-21,3,14,0.2143,21.1
2026-05-02,2026-05-05,0,26,0,15
2026-05-02,2026-05-21,0,26,0,15
2026-05-03,2026-05-05,0,33,0,11.1
2026-05-03,2026-05-21,0,33,0,11.1
2026-05-04,2026-05-21,0,51,0,26.9
2026-05-05,2026-05-13,0,17,0,11.5
2026-05-05,2026-05-21,0,17,0,11.5
2026-05-06,2026-05-13,0,32,0,20.9
2026-05-06,2026-05-21,0,32,0,20.9
2026-05-07,2026-05-13,1,19,0.0526,11.5
2026-05-07,2026-05-21,1,19,0.0526,11.5
2026-05-08,2026-05-13,0,13,0,23.8
2026-05-08,2026-05-21,0,13,0,23.8
2026-05-09,2026-05-13,0,4,0,25.5
2026-05-09,2026-05-21,0,4,0,25.5
2026-05-10,2026-05-13,0,5,0,7.6
2026-05-10,2026-05-21,0,5,0,7.6
2026-05-11,2026-05-13,2,54,0.037,7.1
2026-05-11,2026-05-21,2,54,0.037,7.1
2026-05-12,2026-05-21,1,12,0.0833,10.1
2026-05-13,2026-05-21,0,20,0,13.8
2026-05-14,2026-05-21,0,12,0,21.8
2026-05-15,2026-05-21,0,11,0,24.5
2026-05-16,2026-05-21,0,8,0,26.8
2026-05-17,2026-05-21,0,4,0,19
2026-05-18,2026-05-21,2,22,0.0909,24.5
2026-05-19,2026-05-21,1,17,0.0588,10.1
2026-05-19,2026-05-27,1,17,0.0588,10.1
2026-05-20,2026-05-27,0,27,0,9.7
2026-05-21,2026-05-27,2,18,0.1111,7.2
2026-05-22,2026-05-27,0,12,0,10.7
2026-05-23,2026-05-27,2,8,0.25,23.9
2026-05-23,2026-05-30,2,8,0.25,23.875
2026-05-24,2026-05-27,0,17,0,8
2026-05-24,2026-05-30,0,17,0.0,8.0
2026-05-25,2026-05-27,0,16,0,30.1
2026-05-25,2026-05-30,0,16,0.0,30.0625
2026-05-25,2026-06-01,0,16,0.0,30.0625
2026-05-26,2026-05-30,0,8,0.0,14.875
2026-05-26,2026-06-01,0,8,0.0,14.875
2026-05-27,2026-05-30,0,8,0.0,10.0
2026-05-27,2026-06-01,0,8,0.0,10.0
2026-05-28,2026-05-30,0,144,0.0,23.944444444444443
2026-05-28,2026-06-01,0,144,0.0,23.944444444444443
2026-05-29,2026-06-01,2,270,0.007407407407407408,23.203703703703702
2026-05-30,2026-06-01,0,187,0.0,20.101604278074866
2026-06-01,2026-06-08,0,377,0.0,21.73474801061008
2026-06-02,2026-06-08,0,227,0.0,19.519823788546255
2026-06-03,2026-06-08,1,224,0.004464285714285714,19.464285714285715
2026-06-04,2026-06-08,2,269,0.007434944237918215,20.364312267657994
2026-06-05,2026-06-08,1,309,0.003236245954692557,20.511326860841425
2026-06-06,2026-06-08,0,249,0.0,16.397590361445783
2026-06-08,2026-06-15,1,218,0.0045871559633027525,16.628440366972477
2026-06-09,2026-06-15,1,286,0.0034965034965034965,18.825174825174827
2026-06-10,2026-06-15,0,241,0.0,20.186721991701244
2026-06-11,2026-06-15,1,230,0.004347826086956522,18.32608695652174
2026-06-12,2026-06-15,0,348,0.0,19.862068965517242
2026-06-13,2026-06-15,0,321,0.0,17.660436137071652
