snapshot_date,device,clicks,impressions,ctr,position
2026-05-05,Desktop,4,96,0.0417,13.15
2026-05-05,Mobile,3,18,0.1667,9.61
2026-05-13,Desktop,3,137,0.0219,12.7
2026-05-13,Mobile,0,7,0,25.29
2026-05-21,Desktop,10,378,0.0265,16.26
2026-05-21,Mobile,6,50,0.12,14.04
2026-05-21,Tablet,0,1,0,11
2026-05-27,Desktop,1,96,0.0104,14.62
2026-05-27,Mobile,4,18,0.2222,4.61
2026-05-27,Tablet,0,1,0,11
2026-05-30,DESKTOP,0,152,0.0,23.18421052631579
2026-05-30,MOBILE,2,40,0.05,18.5
2026-05-30,TABLET,0,9,0.0,21.22222222222222
2026-06-01,DESKTOP,2,477,0.0041928721174004195,23.253668763102727
2026-06-01,MOBILE,0,120,0.0,18.75
2026-06-01,TABLET,0,36,0.0,22.5
2026-06-08,DESKTOP,3,1257,0.002386634844868735,20.088305489260144
2026-06-08,MOBILE,1,370,0.002702702702702703,19.05945945945946
2026-06-08,TABLET,0,28,0.0,20.75
2026-06-15,DESKTOP,2,1158,0.0017271157167530224,17.613126079447323
2026-06-15,MOBILE,1,380,0.002631578947368421,20.107894736842105
2026-06-15,TABLET,0,106,0.0,24.839622641509433
2026-06-22,DESKTOP,1,993,0.0010070493454179255,16.736153071500503
2026-06-22,MOBILE,0,409,0.0,17.946210268948654
2026-06-22,TABLET,0,70,0.0,24.428571428571427
