Date,Clicks,Impressions,CTR,Position
2026-04-23,0,1,0%,12
2026-04-24,1,3,33.33%,5.7
2026-04-25,1,6,16.67%,16.5
2026-04-26,0,4,0%,19.5
2026-04-27,0,6,0%,15.8
2026-04-28,1,13,7.69%,6.8
2026-04-29,3,16,18.75%,4.3
2026-04-30,0,6,0%,22.3
2026-05-01,3,14,21.43%,21.1
2026-05-02,0,26,0%,15
2026-05-03,0,33,0%,11.1
2026-05-04,0,51,0%,26.9
2026-05-05,0,17,0%,11.5
2026-05-06,0,32,0%,20.9
2026-05-07,1,19,5.26%,11.5
2026-05-08,0,13,0%,23.8
2026-05-09,0,4,0%,25.5
2026-05-10,0,5,0%,7.6
2026-05-11,2,54,3.7%,7.1
2026-05-12,1,12,8.33%,10.1
2026-05-13,0,20,0%,13.8
2026-05-14,0,12,0%,21.8
2026-05-15,0,11,0%,24.5
2026-05-16,0,8,0%,26.8
2026-05-17,0,4,0%,19
2026-05-18,2,22,9.09%,24.5
2026-05-19,1,17,5.88%,10.1
