Top pages,Clicks,Impressions,CTR,Position
https://bolderelectric.com/,15,370,4.05%,14.61
https://bolderelectric.com/schedule,1,104,0.96%,14.24
https://bolderelectric.com/gallery,0,53,0%,5.25
https://www.bolderelectric.com/,0,40,0%,15.68
http://www.bolderelectric.com/gallery/,0,11,0%,4.73
https://bolderelectric.com/#about,0,9,0%,1
https://bolderelectric.com/#crew,0,9,0%,1
https://bolderelectric.com/#services,0,9,0%,1
http://www.bolderelectric.com/hello-world/,0,8,0%,4.5
https://bolderelectric.com/#contact,0,5,0%,1
